"date";age_10;age_15;age_20;age_25;age_30;age_35;age_40;age_45;age_50;age_55;age_60;age_65;age_70;male;female;bc_100000003275;bc_100000003282;bc_100000003299;bc_100000003305;bc_100000003312;bc_100000003329;bc_100000003336;bc_100000003343;bc_100000003350;bc_100000003367;bc_100000003374;bc_100000003381;bc_100000003398;bc_100000003404;bc_100000003411;bc_100000003428;bc_100000003435;bc_100000003459;bc_100000003466;bc_100000003473;bc_100000003480;bc_100000003497;bc_100000003503;bc_100000003510;bc_100000003527;bc_100000003534;bc_100000003541;bc_100000003558;bc_100000003565;bc_100000003572;bc_100000003589;bc_100000003596;bc_100000003602;bc_100000003619;bc_100000003626;bc_100000003633;bc_100000003640;bc_100000003664;bc_100000003671;bc_100000003725;bc_100000003732;bc_100000003756;bc_100000003763;bc_100000003770;bc_100000003787;bc_100000003800;bc_100000003817;bc_100000003824;bc_100000003862;bc_100000003978;bc_100000003985;bc_100000003992;bc_100000004005;bc_100000004012;bc_100000004029;bc_100000004050;bc_100000004067;bc_100000004074;bc_100000004081;bc_100000004098;bc_100000004104;bc_100000004111;bc_100000004128;bc_100000004135;bc_100000004142;bc_100000004159;bc_100000004166;bc_100000004173;bc_100000004180;bc_100000004197;bc_100000004203;bc_100000004210;bc_100000004227;bc_100000004234;bc_100000004258;bc_100000004265;bc_100000004272;bc_100000004289;bc_100000004296;bc_100000004302;bc_100000004319;bc_100000004326;bc_100000004333;bc_100000004340;bc_100000004357;bc_100000004364;bc_100000004371;bc_100000004388;bc_100000004395;bc_100000004401;bc_100000004425;bc_100000004432;bc_100000004449;bc_100000004456;bc_100000004470;bc_100000004487;bc_100000004494;bc_100000004616;bc_100000004623;bc_100000004630;bc_100000004647;bc_100000004654;bc_100000004661;bc_100000004678;bc_100000004685;bc_100000004692;bc_100000004708;bc_100000004715;bc_100000004722;bc_100000004739;bc_100000004753;bc_100000004760;bc_100000004777;bc_100000004784;bc_100000004791;bc_100000004807;bc_100000004814;bc_100000004821;bc_100000004838;bc_100000004845;bc_100000004869;bc_100000004876;bc_100000004883;bc_100000004890;bc_100000004906;bc_100000004913;bc_100000004937;bc_100000004944;bc_100000004951;bc_100000004968;bc_100000004975;bc_100000004982;bc_100000004999;bc_100000005002;bc_100000005019;bc_100000005026;bc_100000005040;bc_100000005057;bc_100000005064;bc_100000005071;bc_100000005095;bc_100000005101;bc_100000005118;bc_100000005125;bc_100000005132;bc_100000005149;bc_100000005156;bc_100000005163;bc_100000005170;bc_100000005187;bc_100000005194;bc_100000005200;bc_100000005248;bc_100000005323;bc_100000005347;bc_100000005354;bc_100000005361;bc_100000005378;bc_100000005385;bc_100000005392;bc_100000005415;bc_100000005422;bc_100000005446;bc_100000005453;bc_100000005460;bc_100000005477;bc_100000005514;bc_1235;bc_1236;bc_1238;bc_1239;bc_1240;bc_1241;bc_1243;bc_1244;bc_1245;bc_1246;bc_1247;bc_1248;bc_1249;bc_1254;bc_1260
"2018-09-21";2;2;6;9;8;7;7;1;2;0;0;0;0;15;29;7;6;3;4;2;0;1;0;1;0;1;0;0;0;1;2;2;1;4;1;3;0;3;1;0;0;1;4;3;3;1;4;2;0;5;0;0;9;11;0;2;0;0;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;16;9;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;7
"2018-09-22";9;2;12;23;25;18;6;1;3;3;0;0;0;41;61;7;8;4;3;1;1;0;0;1;0;2;2;1;0;2;1;2;4;1;0;4;2;4;4;0;0;4;9;0;0;5;10;5;3;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;2;0;0;3
"2018-09-24";4;2;6;8;14;18;24;8;5;1;0;0;0;24;66;10;9;2;2;3;4;2;3;1;1;0;0;0;0;2;1;0;1;1;5;0;6;0;1;0;0;1;14;2;5;2;13;4;0;0;1;0;8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;11;10;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;3;0;0;1
"2018-09-25";5;3;4;9;25;24;12;3;1;1;2;1;1;33;58;13;9;1;2;4;2;1;1;5;0;0;1;0;0;3;1;3;6;2;1;3;2;2;1;0;1;3;16;1;3;5;8;1;0;3;2;0;10;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;17;15;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0
"2018-09-26";3;1;6;13;15;12;9;4;2;1;0;0;0;17;49;7;11;3;3;0;2;0;2;5;0;2;1;0;1;2;0;3;0;3;1;1;6;2;0;0;0;5;9;3;2;1;7;1;0;0;9;0;12;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;23;13;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;1;0;1;0;0;0;0;3;0;0;0
"2018-09-27";1;1;5;15;15;19;12;9;0;0;0;0;0;31;46;8;9;8;2;1;2;0;3;1;1;5;0;0;0;1;0;5;1;2;3;1;5;3;4;0;0;2;10;2;3;4;5;2;0;0;4;0;12;20;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;2;1;0;1;2;0;0;1;3;0;0;0;0;1;0;0;2;0;0;0;1;0;30;14;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;8;1;1;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;2;0;0;0
"2018-09-28";3;5;13;10;25;11;13;3;0;1;0;0;0;25;59;6;4;1;3;0;0;0;0;1;0;0;1;1;0;6;2;1;1;0;2;0;2;1;2;0;0;1;4;1;2;1;2;0;0;4;0;0;4;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;20;13;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;12;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0
"2018-09-29";3;0;2;7;17;10;6;3;1;0;0;0;0;30;19;3;6;1;5;0;0;1;0;0;0;2;1;0;1;2;2;2;6;0;1;1;1;0;0;0;0;3;3;2;1;1;3;2;0;1;0;1;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"2018-10-01";3;2;4;6;23;18;8;4;0;1;0;0;0;18;51;5;3;1;1;0;1;1;1;0;0;1;0;0;0;0;1;0;2;0;1;2;4;0;3;0;0;0;4;1;1;1;8;0;0;1;0;0;9;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;16;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;2;0;0;0
"2018-10-02";1;3;1;8;14;15;16;7;0;1;2;1;1;20;50;2;5;3;0;0;1;0;2;1;0;0;0;0;0;1;0;1;1;1;1;0;2;0;0;1;1;0;1;3;1;1;1;0;0;2;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;19;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;0;0;0;1;0;0;0
"2018-10-03";1;8;8;7;9;11;9;3;3;0;0;0;0;15;44;2;5;4;4;0;0;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;3;0;0;1;3;5;1;2;1;4;0;0;2;3;0;4;28;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;7;7;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;0;0;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"2018-10-04";8;2;9;7;19;27;13;8;3;1;0;0;0;33;64;6;4;4;2;2;1;1;1;2;0;0;0;0;0;1;1;0;0;4;2;3;3;2;6;0;0;1;6;3;1;3;3;1;0;6;1;0;5;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;9;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0
"2018-10-05";3;4;1;10;12;18;21;14;4;1;0;0;0;26;62;3;5;0;4;1;0;0;2;1;0;0;0;0;0;0;1;2;1;0;0;3;3;0;2;0;0;3;7;1;2;0;5;2;0;2;1;0;8;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;18;10;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"2018-10-06";1;3;6;12;10;14;7;3;2;3;0;0;0;28;33;2;7;3;3;0;2;0;1;4;1;2;2;0;0;1;0;0;4;3;0;0;6;1;0;0;0;2;10;2;2;0;13;3;0;0;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2018-10-08";0;0;2;9;6;6;14;8;9;2;2;0;0;16;42;7;5;2;2;3;0;0;2;2;0;1;0;0;0;0;0;1;1;1;0;3;1;4;1;0;0;2;10;2;3;1;5;0;0;4;1;0;6;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;16;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;0;3;0;0;0
"2018-10-09";4;0;3;6;20;19;13;8;0;2;0;0;0;21;54;6;6;6;1;1;4;2;2;0;0;1;0;0;0;2;0;2;1;4;2;1;4;9;0;0;1;2;8;2;3;3;5;2;6;0;2;5;11;29;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;11;12;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;4;0;0;0;9;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2;1;0;0
"2018-10-10";0;3;6;7;16;14;11;2;4;0;1;0;0;29;35;6;5;5;3;2;2;0;6;2;1;0;0;1;0;1;1;0;1;1;0;3;5;2;1;0;1;8;7;2;1;0;0;0;8;0;8;0;6;30;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;22;10;0;0;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;8;0;0;0;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;2;0;3;0;0;0
"2018-10-11";4;3;9;11;18;19;13;4;2;1;0;0;0;33;51;9;4;2;4;2;1;0;1;1;0;0;1;0;0;2;2;4;3;0;1;3;4;0;3;0;1;5;8;1;3;1;1;0;5;0;10;0;6;23;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;20;14;1;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;10;0;3;0;5;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;2;1;0;0;1;0;0;0
"2018-10-15";2;1;6;14;18;15;25;7;2;1;1;0;0;44;48;7;10;3;2;0;1;0;1;1;0;0;1;0;0;0;1;1;3;3;3;0;4;2;1;0;0;0;10;0;3;1;2;1;0;0;13;0;6;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;13;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;2;1;0;0
"2018-10-16";1;2;8;14;17;26;7;3;1;1;0;0;1;28;53;3;9;1;1;3;4;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;7;1;0;0;0;1;6;0;3;1;1;0;0;1;8;0;1;21;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;0;18;13;0;0;0;0;0;0;0;2;1;0;1;0;1;0;1;0;0;4;0;0;0;8;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"2018-10-17";0;1;5;9;30;15;14;10;1;3;1;0;1;23;67;10;8;3;2;1;2;0;3;1;0;1;0;0;0;2;0;3;0;0;1;3;3;2;0;0;2;3;9;1;3;3;0;0;0;0;4;0;9;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;5;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
"2018-10-18";1;4;2;12;18;16;14;5;4;4;2;0;0;21;61;6;4;1;4;0;2;0;1;1;0;0;0;0;0;0;0;0;3;4;0;2;2;1;0;0;0;3;9;0;0;3;0;0;0;0;8;0;5;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;21;10;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;8;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;2;0;0;0
"2018-10-19";1;2;1;7;20;20;11;10;1;2;0;1;1;21;56;12;6;3;1;1;2;0;0;3;0;0;1;0;0;4;0;4;3;1;2;4;4;4;4;0;0;2;3;0;4;2;0;0;0;0;9;0;6;23;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;26;14;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;11;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;1;0;0;0;0;3;0;0;0
