"date","mac","detections","signal_strength","last_detected","first_detected","seconds"
"2018-10-06","PjOOBPVR73guI8UfnwkfCA==",419,50,"2018-10-06 22:46:00","2018-10-06 21:29:00",11700
"2018-10-26","PjOOBPVR73guI8UfnwkfCA==",145,52,"2018-10-26 22:46:00","2018-10-26 22:16:00",3000
"2018-05-08","wxMfL3C1oVnPDyKPeW9OIA==",87,68,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-05-08","LU8KXGRwrZYQSBXyZHYTZQ==",85,70,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-05-08","oVqI+pIguLG/djxsq7WGLQ==",84,68,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-05-08","nkeUyFH+jvL5Rz6ltFoMAA==",79,70,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-11-28","Q4jbOfHfD02sODyMkp3ahw==",69,48,"2018-11-28 13:51:00","2018-11-28 13:21:00",3000
"2018-05-08","hg39PxGvZQP+6Xd2ws6Ygg==",66,68,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2019-01-12","JAZwBIkfhgQTmeOheTphaw==",59,50,"2019-01-12 11:38:00","2019-01-12 10:31:00",10700
"2018-08-04","qpIpHTQchkQ39D1w2b8JKXwjFw56XePy",50,50,"2018-08-04 10:08:00","2018-08-04 09:11:00",9700
"2018-05-08","WPymZ5LXWMSsODyMkp3ahw==",49,68,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-05-08","cr5Lx2lN0fsTmeOheTphaw==",45,70,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-05-08","vr/NPnjbbllr/SDLTfEf7A==",44,68,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-05-08","oVqI+pIguLE/xP4CeDNBqg==",40,68,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-06-18","EnYkfL2cbSBUClazBvvSxQ==",40,50,"2018-06-18 12:51:00","2018-06-18 12:41:00",1000
"2018-05-08","m+MnjIdfJ25mTz2DFhoLNA==",35,68,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-05-08","V+JkJRCXtC4QSBXyZHYTZQ==",34,68,"2018-05-08 11:31:00","2018-05-08 11:16:00",1500
"2018-11-21","Ertgjeye1oErE6wiFF8knw==",32,58,"2018-11-21 17:09:00","2018-11-21 17:00:00",900
"2019-02-04","cW0EPeY4IdUuI8UfnwkfCA==",31,50,"2019-02-04 07:12:00","2019-02-04 06:18:00",9400
"2019-02-04","EnYkfL2cbSBUClazBvvSxQ==",31,50,"2019-02-04 07:11:00","2019-02-04 06:17:00",9400
"2018-06-19","DtCZnncE3Y6tP/dAK8EqGA==",30,52,"2018-06-19 12:33:00","2018-06-19 12:17:00",1600
"2018-11-29","VR1e+ZQLqfCHsTnrYEqH2A==",30,50,"2018-11-29 10:19:00","2018-11-29 09:57:00",6200
"2018-11-21","34rVCqHvKMNM7OTum+cZjA==",30,58,"2018-11-21 12:55:00","2018-11-21 12:26:00",2900
"2018-07-07","OQWLd5RTlze2DXRNXDVVvUNFUdQDIutU",29,56,"2018-07-07 23:59:00","2018-07-07 23:22:00",3700
"2019-01-12","8aeMwP9JTPFz5hTdUI+T3A==",28,50,"2019-01-12 12:30:00","2019-01-12 11:34:00",9600
"2018-05-11","0RSCxGUqOYUuI8UfnwkfCA==",27,52,"2018-05-11 07:57:00","2018-05-11 06:50:00",10700
"2018-12-06","ozF+8zK0/kInl/iO9l/56A==",27,44,"2018-12-06 21:25:00","2018-12-06 20:16:00",10900
"2018-11-25","ozF+8zK0/kInl/iO9l/56A==",27,52,"2018-11-25 22:44:00","2018-11-25 21:32:00",11200
"2018-05-08","D/wip4B5vSMMtdeUlUlt/g==",26,68,"2018-05-08 11:31:00","2018-05-08 11:24:00",700
"2018-05-08","qpIpHTQchkQ39D1w2b8JKXwjFw56XePy",26,70,"2018-05-08 08:58:00","2018-05-08 08:01:00",5700
"2019-01-05","ozF+8zK0/kInl/iO9l/56A==",26,48,"2019-01-05 22:46:00","2019-01-05 21:34:00",11200
"2018-05-08","cW0EPeY4IdUuI8UfnwkfCA==",24,68,"2018-05-08 11:30:00","2018-05-08 11:17:00",1300
"2018-11-23","qJD4joyX35WPQ/887bU4vQ==",24,56,"2018-11-23 15:41:00","2018-11-23 15:14:00",2700
"2018-05-08","gpmvfO4bWso39D1w2b8JKfodJJIRxY5f",23,71,"2018-05-08 08:59:00","2018-05-08 08:02:00",5700
"2018-05-08","ViFAXMpxw21G/o1dRzitbAbfpgeA9CH3",23,68,"2018-05-08 12:31:00","2018-05-08 11:49:00",8200
"2018-10-09","oow1bobPQD0rbBVc8INkCg==",23,46,"2018-10-09 15:42:00","2018-10-09 15:16:00",2600
"2018-10-27","C7NUgP6h2b2EkajN4jueDA==",22,52,"2018-10-27 14:24:00","2018-10-27 13:43:00",8100
"2019-01-06","ozF+8zK0/kInl/iO9l/56A==",22,40,"2019-01-06 18:59:00","2019-01-06 18:03:00",5600
"2018-05-08","Ap/D/9jOI9pmTz2DFhoLNA==",21,70,"2018-05-08 11:30:00","2018-05-08 11:16:00",1400
"2019-02-09","dfm89mVhjx4DJSTwoVSEYQ==",21,46,"2019-02-09 15:48:00","2019-02-09 14:51:00",9700
"2018-05-08","EnYkfL2cbSBUClazBvvSxQ==",19,68,"2018-05-08 11:24:00","2018-05-08 11:16:00",800
"2019-02-04","oVqI+pIguLE/xP4CeDNBqg==",18,50,"2019-02-04 07:11:00","2019-02-04 06:17:00",9400
"2019-01-10","PjOOBPVR73guI8UfnwkfCA==",18,52,"2019-01-10 19:19:00","2019-01-10 18:57:00",6200
"2019-01-10","wxMfL3C1oVnPDyKPeW9OIA==",18,52,"2019-01-10 12:55:00","2019-01-10 12:18:00",3700
"2018-05-08","b+ZN/563moJr/SDLTfEf7A==",17,70,"2018-05-08 11:29:00","2018-05-08 11:18:00",1100
"2018-11-24","ozF+8zK0/kInl/iO9l/56A==",17,48,"2018-11-24 21:45:00","2018-11-24 21:03:00",4200
"2018-07-10","6XBDiMuB/psTmeOheTphaw==",17,58,"2018-07-10 12:48:00","2018-07-10 12:43:00",500
"2019-02-04","WPymZ5LXWMSsODyMkp3ahw==",17,50,"2019-02-04 07:11:00","2019-02-04 06:19:00",9200
"2019-01-12","g2xpYAoJ1rW+FD9l1Izr7w==",17,50,"2019-01-12 10:53:00","2019-01-12 10:27:00",2600
"2018-10-02","MJkyOmbmeo/MEfVYDQf3BQ==",17,54,"2018-10-02 07:36:00","2018-10-02 07:10:00",2600
"2018-07-08","byR7qBL2ylDPDyKPeW9OIA==",16,56,"2018-07-08 01:05:00","2018-07-08 00:17:00",8800
"2018-05-08","KfV3lVWrrkdp610KJawadQ==",15,71,"2018-05-08 11:29:00","2018-05-08 11:19:00",1000
"2018-10-05","UaPFRwVzF4Nz5hTdUI+T3A==",15,52,"2018-10-05 09:38:00","2018-10-05 08:54:00",8400
"2019-01-14","GVEf8ehGTK/yzYubXYypeQ==",15,48,"2019-01-14 15:46:00","2019-01-14 15:09:00",3700
"2018-11-21","GrecrvFz2Bx9cl7zeBOoDg==",15,58,"2018-11-21 12:59:00","2018-11-21 12:32:00",2700
"2018-11-23","nykEyrlBK/hn8IVxZGwoyE0vI8O8qqxZ",15,56,"2018-11-23 10:58:00","2018-11-23 10:40:00",1800
"2019-03-01","IV4Ysc3GdZ1jfNy7emcCiQ==",15,50,"2019-03-01 15:23:00","2019-03-01 14:57:00",6600
"2018-07-12","X2ITO8EYxfLNtQ7gQ4347A==",15,56,"2018-07-12 14:54:00","2018-07-12 14:42:00",1200
"2018-11-21","Hhh5CDZs+KrW+M0jv49IJw==",15,58,"2018-11-21 09:49:00","2018-11-21 09:21:00",2800
"2019-03-07","ZpKnpWgb1GOnDAJ71ldXdQ==",14,50,"2019-03-07 09:14:00","2019-03-07 09:09:00",500
"2018-07-09","qpIpHTQchkQ39D1w2b8JKfodJJIRxY5f",14,58,"2018-07-09 10:26:00","2018-07-09 10:23:00",300
"2018-07-17","LutdKa4QrQ4HpVH1vCHewg==",14,52,"2018-07-17 09:53:00","2018-07-17 09:40:00",1300
"2018-11-29","cLgN6zROr7oCdJiqtmvk8g==",14,50,"2018-11-29 11:21:00","2018-11-29 11:01:00",2000
"2018-11-22","mPtVy1aNxra1xethUW2NJA==",13,56,"2018-11-22 11:07:00","2018-11-22 10:44:00",6300
"2018-05-08","4LPoUa7imqI5iEzdKKq9kw==",12,64,"2018-05-08 11:25:00","2018-05-08 11:16:00",900
"2018-05-08","8c/OkK5pD1W/wfQV7CH+8w==",12,64,"2018-05-08 11:30:00","2018-05-08 11:18:00",1200
"2018-10-27","cW0EPeY4IdUuI8UfnwkfCA==",12,52,"2018-10-27 09:02:00","2018-10-27 08:53:00",4900
"2019-03-07","T2mY2cGiVighW11FggRlnSdZlDuGkOv2",12,48,"2019-03-07 09:57:00","2019-03-07 09:26:00",3100
"2018-11-23","JQ6b1N3Ypc6RA8NZZLRrLw==",12,56,"2018-11-23 10:31:00","2018-11-23 10:03:00",2800
"2019-01-09","t6V9i43fpPKq0RDCt/IIRw==",12,52,"2019-01-09 12:44:00","2019-01-09 12:24:00",2000
"2018-07-12","VdO5cqWjoueLAe+dEcRXlQ==",12,56,"2018-07-12 15:44:00","2018-07-12 15:13:00",3100
"2018-07-17","jFg8MjQOFVuy+c0xRAPqxg==",12,52,"2018-07-17 08:40:00","2018-07-17 08:19:00",2100
"2018-07-09","+oR33EJbsNuueAlOT0kECh06P02XDKYl",12,58,"2018-07-09 13:35:00","2018-07-09 12:16:00",11900
"2019-02-04","6N65kokdLgJugUejvdWumQ==",12,48,"2019-02-04 07:12:00","2019-02-04 06:17:00",9500
"2018-10-27","EnYkfL2cbSBUClazBvvSxQ==",12,52,"2018-10-27 09:00:00","2018-10-27 08:53:00",4700
"2018-07-09","qpIpHTQchkQ39D1w2b8JKXwjFw56XePy",11,58,"2018-07-09 10:25:00","2018-07-09 10:17:00",800
"2018-11-22","xz1m1oPtdZbBr4mNCcgI9Q==",11,54,"2018-11-22 11:16:00","2018-11-22 11:14:00",200
"2018-12-18","qG6ldT+TBJX3nNr15rPXrQ==",11,44,"2018-12-18 09:25:00","2018-12-18 08:26:00",9900
"2019-03-04","nu3IqdUlYN4QLWx3GIE4LA==",11,48,"2019-03-04 17:25:00","2019-03-04 17:19:00",600
"2018-10-27","WPymZ5LXWMSsODyMkp3ahw==",11,52,"2018-10-27 09:02:00","2018-10-27 08:53:00",4900
"2018-11-21","8o3Kun5vzLMn+XEpCWZxTg==",10,58,"2018-11-21 13:01:00","2018-11-21 12:39:00",6200
"2018-11-21","93cI/hVz0veUHGW7T6X/bQ==",10,58,"2018-11-21 12:24:00","2018-11-21 12:11:00",1300
"2018-07-07","dfm89mVhjx4QwfQUsBz/wQ==",10,56,"2018-07-07 16:28:00","2018-07-07 15:40:00",8800
"2019-01-10","eJTsUJ05pXmSalLeJ6DGGg==",10,52,"2019-01-10 12:48:00","2019-01-10 12:16:00",3200
"2019-01-12","HpoHvy3AowqwC9jLzcVxnUNFUdQDIutU",10,50,"2019-01-12 15:05:00","2019-01-12 14:45:00",6000
"2019-01-29","xBHG4K9g+QdfLxpXs0ZyHA==",10,48,"2019-01-29 14:49:00","2019-01-29 14:09:00",4000
"2019-01-09","6aqIqyh2p5TVAWfcQCIHESdZlDuGkOv2",10,52,"2019-01-09 23:49:00","2019-01-09 22:45:00",10400
"2019-01-16","HpoHvy3AowqwC9jLzcVxnUNFUdQDIutU",10,44,"2019-01-16 15:38:00","2019-01-16 15:16:00",2200
"2018-07-10","z8y9AYXLRyOy+c0xRAPqxg==",10,58,"2018-07-10 12:01:00","2018-07-10 11:36:00",6500
"2018-11-21","7QOV0hnQdUshE7VDtlv6tA==",10,56,"2018-11-21 08:55:00","2018-11-21 08:41:00",1400
"2019-02-09","TF/6i8LFis3afR6z6hf1ig==",9,44,"2019-02-09 13:50:00","2019-02-09 13:45:00",500
"2018-11-21","z9ne5KwyQjd9L+yDHTEU1Q==",9,58,"2018-11-21 14:45:00","2018-11-21 14:38:00",700
"2018-06-21","8/0HtSuyg+2HsTnrYEqH2A==",9,50,"2018-06-21 14:23:00","2018-06-21 14:15:00",800
"2018-09-27","pY/d3bpyi8us+igvZW6Z7Q==",9,48,"2018-09-27 14:36:00","2018-09-27 13:34:00",10200
"2018-11-23","CPoEvjNb56jiUoUe5HXuvw==",9,56,"2018-11-23 10:24:00","2018-11-23 09:55:00",6900
"2018-11-21","8pQlf7wNRkM6PU9h8jWhcQ==",8,58,"2018-11-21 15:19:00","2018-11-21 14:34:00",8500
"2018-10-30","qjpe9aF0INEa8ktEnpz/krKj9qCBdR+6",8,52,"2018-10-30 12:34:00","2018-10-30 12:03:00",3100
"2018-07-12","jFg8MjQOFVuy+c0xRAPqxg==",8,56,"2018-07-12 08:26:00","2018-07-12 08:24:00",200
"2018-11-21","9JnHnI3Be2gn+XEpCWZxTg==",8,58,"2018-11-21 12:14:00","2018-11-21 11:22:00",9200
"2018-09-27","GnPvAmLEjzUSOT0+8Zg5jQ==",8,48,"2018-09-27 16:35:00","2018-09-27 16:33:00",200
"2019-01-09","9ae6QupP6x4DN21tdhrbzA==",8,52,"2019-01-09 12:26:00","2019-01-09 12:12:00",1400
"2019-01-10","LQ3gdLHt2yNdH7omDpA4uA==",8,52,"2019-01-10 12:48:00","2019-01-10 12:25:00",2300
"2019-01-29","/G2WXOLtCJ8SVhjIY5RNXg==",8,48,"2019-01-29 14:07:00","2019-01-29 13:09:00",9800
"2018-07-10","9ps2DT4SUz1kOMAANkZSnw==",8,58,"2018-07-10 08:58:00","2018-07-10 08:35:00",2300
"2018-05-11","VxOTIdQ+P7WN5rjsLLTqJg==",8,52,"2018-05-11 15:09:00","2018-05-11 15:01:00",800
"2019-02-28","0LzSCbDi6Nn68DrWav/mOg==",8,48,"2019-02-28 09:35:00","2019-02-28 09:33:00",200
"2019-03-04","2d12HSImF40rbBVc8INkCg==",8,48,"2019-03-04 17:41:00","2019-03-04 17:39:00",200
"2018-07-13","KCtQh4+o05zZllvvXBQitQ==",8,56,"2018-07-13 09:21:00","2018-07-13 08:43:00",7800
"2018-07-13","quOtNZqXLeCnKGPDqALdRg==",8,56,"2018-07-13 13:52:00","2018-07-13 13:32:00",2000
"2018-09-25","T2mY2cGiVighW11FggRlnSdZlDuGkOv2",8,48,"2018-09-25 21:07:00","2018-09-25 20:33:00",7400
"2018-10-02","qjpe9aF0INEa8ktEnpz/krKj9qCBdR+6",8,52,"2018-10-02 15:34:00","2018-10-02 14:19:00",11500
"2018-10-04","MDUA5+nOCday+c0xRAPqxg==",8,54,"2018-10-04 14:29:00","2018-10-04 13:47:00",8200
"2018-10-27","oVqI+pIguLE/xP4CeDNBqg==",8,52,"2018-10-27 09:00:00","2018-10-27 08:53:00",4700
"2018-11-21","xjVpuUMdHj5Z+eqolmDUog==",8,56,"2018-11-21 17:29:00","2018-11-21 16:49:00",8000
"2018-12-12","qkPiKwkIDutfLxpXs0ZyHA==",7,48,"2018-12-12 15:48:00","2018-12-12 15:18:00",3000
"2019-01-12","09ytMg66asF8MfuPZWI/Yw==",7,50,"2019-01-12 20:17:00","2019-01-12 19:32:00",8500
"2018-10-27","Ccswz0R6f11jfNy7emcCiQ==",7,52,"2018-10-27 10:48:00","2018-10-27 10:21:00",2700
"2018-07-10","ksDkbA9atS7nLOsfshSs+w==",7,58,"2018-07-10 14:35:00","2018-07-10 13:29:00",10600
"2019-03-07","3o3656ZqQ6Y6PU9h8jWhcQ==",7,48,"2019-03-07 22:02:00","2019-03-07 21:58:00",4400
"2018-07-13","LnZNoDFg6JqsODyMkp3ahw==",7,56,"2018-07-13 10:34:00","2018-07-13 10:28:00",600
"2018-11-20","vu4OD4UAzVyOC+lxL27nOQbfpgeA9CH3",7,58,"2018-11-20 10:20:00","2018-11-20 10:05:00",1500
"2018-11-23","vZ4EBKab5r0rE6wiFF8knw==",7,56,"2018-11-23 15:52:00","2018-11-23 14:59:00",9300
"2019-03-07","piPe2+qlAPEhE7VDtlv6tA==",7,50,"2019-03-07 13:35:00","2019-03-07 13:29:00",600
"2019-01-10","ZCtvOrunTaD9G1/BBlnpYQ==",7,50,"2019-01-10 12:38:00","2019-01-10 12:35:00",300
"2019-01-11","b3cGcmCPaQIjI7AKqTwsZg==",7,52,"2019-01-11 14:14:00","2019-01-11 13:59:00",5500
"2018-07-16","Mk4EzR8nt+1lKZKuCyn6hw==",7,50,"2018-07-16 08:18:00","2018-07-16 08:17:00",100
"2018-05-11","DtCZnncE3Y6tP/dAK8EqGA==",7,52,"2018-05-11 17:29:00","2018-05-11 17:23:00",600
"2018-06-20","JjfN2Dn6vGeSalLeJ6DGGg==",7,48,"2018-06-20 12:11:00","2018-06-20 11:53:00",5800
"2018-06-21","fbkNKwXuX7VC24ceuu0yaQ==",7,50,"2018-06-21 12:26:00","2018-06-21 11:47:00",7900
"2019-01-14","w5p17ZTRGr8EVUGL4qhqDQ==",7,48,"2019-01-14 10:47:00","2019-01-14 10:46:00",100
"2019-01-24","EG9HDuC/TXnHRkO57zM7GA==",7,42,"2019-01-24 16:56:00","2019-01-24 16:50:00",600
"2018-07-16","spSwpqVII6jLTyWax8qUPg==",7,52,"2018-07-16 14:45:00","2018-07-16 14:44:00",100
"2018-10-18","IkY+Y9Du/1jhQOU6YyRPEw==",7,44,"2018-10-18 20:12:00","2018-10-18 20:05:00",700
"2018-10-29","qrkAWYG3Nu4K0jYrt1N+tg==",7,50,"2018-10-29 10:43:00","2018-10-29 10:21:00",2200
"2018-11-21","hbTRE7e5CyUVOxSgGwEz1g==",7,58,"2018-11-21 09:04:00","2018-11-21 09:01:00",300
"2018-11-23","8c/OkK5pD1W/wfQV7CH+8w==",7,50,"2018-11-23 21:39:00","2018-11-23 21:11:00",2800
"2018-12-12","aOhs1spu2WUgO7QgrTKHBg==",6,48,"2018-12-12 18:12:00","2018-12-12 18:06:00",600
"2018-07-10","JjfN2Dn6vGeSalLeJ6DGGg==",6,58,"2018-07-10 15:58:00","2018-07-10 15:29:00",2900
"2019-01-10","w7/ix1R6B0V4kajCoDilESdZlDuGkOv2",6,52,"2019-01-10 13:32:00","2019-01-10 13:31:00",100
"2018-10-04","pU+l2RQv7BjO990BLQiVoA==",6,34,"2018-10-04 10:57:00","2018-10-04 09:44:00",11300
"2018-10-06","oNV8UMdBuEWxZaqUO4QL/w==",6,52,"2018-10-06 16:24:00","2018-10-06 16:12:00",1200
"2018-12-21","Dfu89ru2qtwZB+PqxNpVAg==",6,42,"2018-12-21 07:41:00","2018-12-21 07:27:00",1400
"2019-01-07","ozF+8zK0/kInl/iO9l/56A==",6,40,"2019-01-07 06:00:00","2019-01-07 05:47:00",5300
"2018-06-20","r61ZQuVSo5CaUuWzWmOgjQ==",6,52,"2018-06-20 12:21:00","2018-06-20 11:52:00",6900
"2019-01-10","qi3BxutKYKxwywYcxOh5iA==",6,52,"2019-01-10 12:45:00","2019-01-10 12:19:00",2600
"2018-06-21","VdO5cqWjoueLAe+dEcRXlQ==",6,50,"2018-06-21 15:33:00","2018-06-21 14:24:00",10900
"2018-07-12","24c/eH3s66uRjZJIP2pOyw==",6,56,"2018-07-12 08:08:00","2018-07-12 08:02:00",600
"2019-02-14","afM/+FGABnvNtQ7gQ4347A==",6,40,"2019-02-14 13:44:00","2019-02-14 13:42:00",200
"2018-11-10","zI05kGBEy+5VueEKFmZXpg==",6,48,"2018-11-10 11:58:00","2018-11-10 11:50:00",800
"2018-11-20","fhbSkwe6+K8GkWfuFGNdorCzuDvg5VeQ",6,58,"2018-11-20 14:59:00","2018-11-20 14:31:00",2800
"2019-02-28","4DgMJLW7NV2SalLeJ6DGGg==",6,48,"2019-02-28 18:04:00","2019-02-28 17:45:00",5900
"2018-11-02","ZqCorfvjTvgTmeOheTphaw==",6,48,"2018-11-02 15:59:00","2018-11-02 15:25:00",3400
"2019-02-02","cS0zefWHWCxmTz2DFhoLNA==",6,52,"2019-02-02 19:28:00","2019-02-02 19:15:00",1300
"2019-01-31","z1jgnj67JDKulES/TCNumA==",6,48,"2019-01-31 08:28:00","2019-01-31 08:25:00",300
"2018-07-10","TAI21aLzrcseBUgxNs2lhA==",6,56,"2018-07-10 15:10:00","2018-07-10 15:09:00",100
"2019-02-11","Dfu89ru2qtwZB+PqxNpVAg==",6,44,"2019-02-11 07:44:00","2019-02-11 07:27:00",1700
"2019-03-07","82mSrBBdOXTePWmkzgE5wQ==",6,50,"2019-03-07 17:39:00","2019-03-07 17:25:00",1400
"2018-09-26","9c43Z72YOjFmNonOZtA81A==",6,48,"2018-09-26 21:20:00","2018-09-26 21:19:00",100
"2018-09-26","pkxWaBysGusCdJiqtmvk8g==",6,48,"2018-09-26 13:26:00","2018-09-26 13:24:00",200
"2018-10-04","kj4D0HdHTVEw1FkNHbk6Bw==",6,52,"2018-10-04 12:05:00","2018-10-04 11:41:00",6400
"2018-05-16","qjpe9aF0INEa8ktEnpz/krKj9qCBdR+6",6,48,"2018-05-16 14:25:00","2018-05-16 14:16:00",900
"2018-10-27","k9cLtrRaAqi1/S3kfyUtdg==",6,52,"2018-10-27 16:18:00","2018-10-27 16:12:00",600
"2018-11-21","UNltToWcle43wTs3MUHeoA==",6,56,"2018-11-21 10:43:00","2018-11-21 10:29:00",1400
"2018-11-22","4LPoUa7imqI5iEzdKKq9kw==",6,56,"2018-11-22 11:13:00","2018-11-22 10:29:00",8400
"2018-11-22","UvRyoERSqj1b9qSwGrqQuw==",6,56,"2018-11-22 11:00:00","2018-11-22 10:17:00",8300
"2018-05-08","9JnHnI3Be2gn+XEpCWZxTg==",5,64,"2018-05-08 11:25:00","2018-05-08 11:18:00",700
"2018-05-08","b8Ts0+JNp7IB91QRd+30h00vI8O8qqxZ",5,68,"2018-05-08 12:22:00","2018-05-08 12:14:00",800
"2018-05-08","byR7qBL2ylDPDyKPeW9OIA==",5,68,"2018-05-08 11:29:00","2018-05-08 11:16:00",1300
"2018-05-08","e3mpcKN2XQZDm/o4rbCdfg==",5,68,"2018-05-08 11:29:00","2018-05-08 11:20:00",900
"2019-01-31","eS+bsxtDb0UaFhQmp7NyNg==",5,50,"2019-01-31 14:08:00","2019-01-31 13:34:00",7400
"2019-01-11","dz+TbN0DxvjDt6SnlypP9Q==",5,52,"2019-01-11 11:32:00","2019-01-11 11:25:00",700
"2019-01-29","4HVhijEdFPw1pLwfmY31bAbfpgeA9CH3",5,48,"2019-01-29 20:37:00","2019-01-29 20:24:00",1300
"2019-01-31","AzifhpaXBBimNQf2x7O/gg==",5,50,"2019-01-31 18:26:00","2019-01-31 18:22:00",400
"2018-07-17","iC9Ys1VRh7CaUuWzWmOgjQ==",5,52,"2018-07-17 13:34:00","2018-07-17 13:32:00",200
"2018-10-08","C+W/mi79UeXV40HUFbVTEA==",5,48,"2018-10-08 10:43:00","2018-10-08 10:41:00",200
"2018-11-21","Gd/5hy70DzfNv6MQoTBQeA==",5,58,"2018-11-21 15:38:00","2018-11-21 15:34:00",400
"2019-01-16","cE6cWzMepCwU4uF+eGJ52ENFUdQDIutU",5,42,"2019-01-16 08:18:00","2019-01-16 08:15:00",300
"2019-01-18","qjpe9aF0INEa8ktEnpz/krKj9qCBdR+6",5,44,"2019-01-18 14:34:00","2019-01-18 13:54:00",8000
"2018-07-09","b3cGcmCPaQIjI7AKqTwsZg==",5,58,"2018-07-09 08:47:00","2018-07-09 08:44:00",300
"2018-07-10","+8s9FVOE/OsSVhjIY5RNXg==",5,56,"2018-07-10 10:02:00","2018-07-10 09:58:00",4400
"2019-02-11","kTtyfeiAEERjfNy7emcCiQ==",5,44,"2019-02-11 14:30:00","2019-02-11 14:27:00",300
"2019-02-25","afM/+FGABnvNtQ7gQ4347A==",5,44,"2019-02-25 13:47:00","2019-02-25 13:45:00",200
"2019-03-01","EtvU71srOyuFmiC8444ecQ==",5,50,"2019-03-01 13:23:00","2019-03-01 13:22:00",100
"2019-03-01","mmtU8Z2yOSFxZc6oaGOyheMiq6tdELRS",5,50,"2019-03-01 20:02:00","2019-03-01 20:01:00",100
"2018-09-24","T2mY2cGiVighW11FggRlnSdZlDuGkOv2",5,42,"2018-09-24 21:42:00","2018-09-24 20:38:00",10400
"2018-10-04","ll+RPTS3G+05iEzdKKq9kw==",5,52,"2018-10-04 18:38:00","2018-10-04 18:21:00",1700
"2018-10-06","dXBZtyW6S74YBHN1pM46dA==",5,50,"2018-10-06 16:24:00","2018-10-06 16:22:00",200
"2018-10-23","wxMfL3C1oVnPDyKPeW9OIA==",5,50,"2018-10-23 20:48:00","2018-10-23 20:15:00",3300
"2018-10-27","hg39PxGvZQP+6Xd2ws6Ygg==",5,48,"2018-10-27 20:34:00","2018-10-27 20:09:00",2500
"2018-11-21","LytTGMF84HjOZjBRI12y/w==",5,56,"2018-11-21 22:10:00","2018-11-21 21:58:00",5200
"2018-11-21","pIpHdPodLWPNtQ7gQ4347A==",5,56,"2018-11-21 19:11:00","2018-11-21 19:09:00",200
"2018-11-22","CaMieeoVKSoZB+PqxNpVAg==",5,56,"2018-11-22 11:07:00","2018-11-22 10:53:00",5400
"2019-01-01","ozF+8zK0/kInl/iO9l/56A==",5,42,"2019-01-01 06:29:00","2019-01-01 06:19:00",1000
"2018-06-19","RExWVhJRUoljfNy7emcCiQ==",5,52,"2018-06-19 14:10:00","2018-06-19 14:03:00",700
"2018-07-09","S5G9hFQYGguulES/TCNumA==",5,55,"2018-07-09 09:45:00","2018-07-09 09:41:00",400
"2019-02-08","Dfu89ru2qtwZB+PqxNpVAg==",5,44,"2019-02-08 07:47:00","2019-02-08 07:43:00",400
"2018-07-10","VGcIqtRcv9rEwA7Wvz1xKw==",5,58,"2018-07-10 08:03:00","2018-07-10 07:15:00",8800
